iter	Logloss
0	0.6282405523
1	0.5774114532
2	0.5307866797
3	0.4997117588
4	0.4644646617
5	0.4361308103
6	0.4114855287
7	0.3908576745
8	0.3736967407
9	0.3503106619
10	0.3339385104
11	0.313610981
12	0.2964385589
13	0.2824924006
14	0.2634834334
15	0.253529058
16	0.2462825885
17	0.2311624736
18	0.2190625406
19	0.2116684886
20	0.204029414
21	0.1972201353
22	0.1862813255
23	0.1768810405
24	0.1661376512
25	0.1601773631
26	0.1522216576
27	0.1445506983
28	0.1344864244
29	0.1284674716
30	0.1230800607
31	0.1166281948
32	0.1119556978
33	0.1070867108
34	0.1025451484
35	0.09950313678
36	0.09595296562
37	0.09094927352
38	0.08690398553
39	0.08271185925
40	0.078351324
41	0.07481272923
42	0.07270869216
43	0.07046771739
44	0.06830833964
45	0.0661133893
46	0.06382261949
47	0.06138767397
48	0.05916445517
49	0.05725304929
50	0.05465829441
51	0.05309291244
52	0.05122374937
53	0.04882763989
54	0.04640671835
55	0.04546803546
56	0.04358354469
57	0.04225319658
58	0.04103394326
59	0.03940546995
60	0.03806293631
61	0.0372288737
62	0.03610220396
63	0.0349030853
64	0.03347005458
65	0.03247416502
66	0.03133620554
67	0.03006913621
68	0.02904710604
69	0.02847127418
70	0.02764121921
71	0.02658458114
72	0.02550577153
73	0.02485462145
74	0.02431043724
75	0.02350071262
76	0.02300167359
77	0.02226058321
78	0.02165630236
79	0.02101959245
80	0.02066911025
81	0.02028793131
82	0.02007725335
83	0.01964153995
84	0.01913376902
85	0.0185662005
86	0.01825571887
87	0.01787454131
88	0.01749523527
89	0.01713761842
90	0.01660303298
91	0.01621984609
92	0.01582054734
93	0.01553887163
94	0.01509940969
95	0.01476591309
96	0.01448043096
97	0.01428700596
98	0.01396258442
99	0.01375494665
