iter	Passed	Remaining
0	12	1278
1	25	1230
2	37	1197
3	50	1201
4	62	1189
5	73	1148
6	84	1125
7	97	1118
8	108	1099
9	120	1082
10	131	1064
11	142	1046
12	155	1038
13	166	1021
14	177	1006
15	189	995
16	200	980
17	212	967
18	223	951
19	234	937
20	245	924
21	257	911
22	268	898
23	279	885
24	291	873
25	308	876
26	321	870
27	334	860
28	347	850
29	359	839
30	371	827
31	383	815
32	395	803
33	407	791
34	419	778
35	430	765
36	447	762
37	461	753
38	474	742
39	485	728
40	498	717
41	509	704
42	521	691
43	532	677
44	542	662
45	553	649
46	564	636
47	576	624
48	587	611
49	599	599
50	611	587
51	623	575
52	635	563
53	646	550
54	657	537
55	667	524
56	679	512
57	689	499
58	700	487
59	712	474
60	724	463
61	737	451
62	749	440
63	760	427
64	770	415
65	781	402
66	791	389
67	802	377
68	814	365
69	825	353
70	837	342
71	848	330
72	860	318
73	870	305
74	882	294
75	894	282
76	904	270
77	915	258
78	926	246
79	936	234
80	947	222
81	958	210
82	969	198
83	986	187
84	1004	177
85	1016	165
86	1027	153
87	1039	141
88	1051	129
89	1063	118
90	1074	106
91	1086	94
92	1098	82
93	1108	70
94	1119	58
95	1129	47
96	1139	35
97	1150	23
98	1161	11
99	1172	0
